"date","city","state","shape","duration","summary","posted"
"8/7/04 04:30","Chingford (London) (UK/England)",NA,"Circle","30 minutes","Huge craft caught on CCTV","9/1/04"
"8/7/04 00:30","Jakarta-Tokyo (inflight)",NA,"Oval","2 minutes","Morphing glowing orange oval object seen on a flight from Jakarta to Tokyo","8/11/04"
"8/6/04 13:13","Hampshire (UK/England)",NA,"Unknown","A minute or so","I was outside feeding goat's, when I looked up and saw a quite long thin white object passing slowly overhead.","8/11/04"
"8/5/04 21:00","Panama (Central America) (Panama)",NA,"Cylinder","5 Sec","My sister was filming the sky after she had noticed a lot of silent thunder, she was hoping to catch thos long strikes of lighnin. but","8/11/04"
"8/5/04 00:45","Amazon (Brazil)",NA,"Disk","30 min +","Huge craft in horizon of sao paulo forest.. caught on cell fone cam... reported on major network TV Bandeirantes (www.band.com.br)","8/11/04"
"8/4/04 04:30","Waterford (Republic of Ireland)",NA,"Light","1 hour+","This seems to happen around the waning of the moon and on a clear night ((NUFORC Note: Venus?? PD))","9/9/04"
"8/3/04 23:30","Middlesbrough (UK/England)",NA,"Chevron","3 minuits aprox","I cannot remember the exact date but it was on the night when mars was the closest to earth last august (03).Me and my mother were both","10/27/04"
"8/3/04 20:00","Jammu (India)",NA,"Light","45 minutes","We saw a star like object,twinkling like a star but with differentiable irregularity and changing location and brightness.The object wa","9/9/04"
"8/2/04 22:15","Cabo San Lucas (Mexico)",NA,"Other","20min","large light object that stayed in sighting for approx. 20 to 25 minutes. moving west to east","8/11/04"
"8/2/04","Southwest U. S.",NA,"","","Simple passive Radar","8/11/04"
"8/1/04 22:30","London (UK/England)",NA,"Triangle","30 seconds","Three orange triangles appear, perform aeronautically impossible manoeuvres, then flying off at great speed.","9/29/04"
"8/1/04 12:45","Sydney (NSW) (Australia)",NA,"Fireball","6min","Fireballs dance in the sky over Sydney Australia","8/11/04"
"8/1/04 12:30","Sydney (NSW, Australia)",NA,"Oval","1 minute","3 balck objects to the S,E, one big 2 small, going aprox 300kmph. weird!","8/11/04"
"8/1/04 05:00","Melbourne (VIC, Australia)",NA,"Triangle","15min","i was driving home, and i saw this huge white light hovering in the shy, at first i thought it must of been a plane,i pulled over and g","8/11/04"
"7/31/04 23:00","Dublin (Ireland)",NA,"Light","1 hour","Bright Lights over City","9/2/05"
"7/31/04 22:45","UK/England",NA,"Fireball","10 minutes","Bright orange fireball-like objects moving very fast from north to south, 6 in total.","8/11/04"
