"date","city","state","shape","duration","summary","posted"
"12/6/12 00:00","Kerala (India)",NA,"Other","4 minutes","5 ufos in Kerala Kodungallur.","2/4/13"
"12/4/12 13:30","Guarenas (Venezuela)",NA,"Sphere","segundos","Me gustaría me enviaran mas información con respecto a la esfera que vi, gracias.","12/20/12"
"12/4/12 02:00","Akola (India)",NA,"Cylinder","10 seconds","A cylinder cyphor like structure (supersonic) no blades, white in colour,duration 5-10 seconds.","3/3/13"
"12/3/12 02:00","Johannesburg (South Africa)",NA,"","2 minutes","A loud jet type noise, hovered for a couple of minutes","12/20/12"
"12/2/12 21:00","Klerksdorp (South Africa)",NA,"Oval","5 minutes","Red oval object with flat top changing color as moved away","2/4/13"
"12/1/12 00:00","Sri Lanka (in most cities)",NA,"Changing","long time","In Sri Lanka everywere last week UFOs seen by people children lot of witness video everywhere please look into it every where all TV st","12/20/12"
"12/1/12 23:15","UK/England (south coast of)",NA,"Light","1 minute","2 Fireball coloured lights following each other traveling into the ocean off the south of England. Both changed direction then vanished","12/20/12"
"12/1/12 22:35","Philippines",NA,"Other","2-3 minutes","Normal reddish star, grew brighter and bigger, disappeared, (might) reappared and start moving left.","12/20/12"
"12/1/12 17:10","Lancashire (UK/England)",NA,"Sphere","1 minute","A few minutes ago I was watching a satellite slowly moving across the sky towards the south and wa.","12/20/12"
"11/30/12 17:42","Gurgaon (India)",NA,"Fireball","5 seconds","I was coming out of my office when i noticed a red & green ball of fire in the sky travelling at a very high speed. I was not visible.","12/20/12"
"11/29/12 00:00","Sharjah (Dubai)",NA,"Formation","1 hour","OVAL SHAPED FORMATION OF WHITE UFO'S.....","12/20/12"
"11/26/12 19:47","Durban (South Africa)",NA,"Circle","going on for a while and","2 crafts that flash dramatically.","12/20/12"
"11/25/12 19:35","Nassau (Bahamas)",NA,"Light","5 minutes","Saw a floating orange-red round light in western Nassau, Bahamas, November 25, 2012, 7:30 pm.","12/20/12"
"11/25/12","Bhubaneswar (India)",NA,"Other","1-2 minutes","While our games period was going on, we observed a very peculiar shaped flying object. It was of black color with a shield of aura arou","12/20/12"
"11/22/12 01:30","Cape Town (South Africa)",NA,"","2 minutes","MOON SIZED OBJECT SEEN.","12/20/12"
"11/21/12 09:30","Popocatepetl Volcano (Mexico)",NA,"Changing","3 hours","Screen captures from remote web com on Popocatepetl Volcano.","12/20/12"
"11/19/12 20:39","Christ Church (Barbados)",NA,"Light","35 minutes+","More than Twenty Orange reddish lights/objects, moved across the sky and then disappeared in an apparent cloud.","12/20/12"
"11/19/12 00:05","Bangalore (India)",NA,"Circle","less than 1 minute","Red balloon shaped object seen moving right to left across the western sky just after midnight.","11/19/12"
"11/18/12 22:55","Orpington (UK/England)",NA,"Other","3-5 minutes","I saw a large shimmering armoured riot like vehicle hovering off the ground making jet sounds with random flashing lights on","11/19/12"
"11/18/12 22:50","Nice (France)",NA,"Triangle","","Green and blue UFO sighted in Nice, France; two green glowing objects with a blue object between them.","12/20/12"
"11/18/12 20:00","Antrim (Ireland)",NA,"Circle","seconds","1 of several pics taken in a row but the only 1 with this.","12/20/12"
"11/18/12 19:40","Guildford (UK/England)",NA,"Flash","5 minutes","Two Orange Pulsating Lights.","11/19/12"
"11/17/12 21:00","Cumnock (UK/Scotland)",NA,"Circle","30 minutes","Weird lights going from west to east in Ayrshire scotland","11/19/12"
"11/17/12 21:00","Johannesburg (South Africa)",NA,"Light","2 minutes","2 bright orange lights moving steadely, no sounds, medium hight","11/19/12"
"11/16/12 22:30","Philippines",NA,"Fireball","90 seconds","3 separate sightings of orange light in a week.","11/19/12"
"11/16/12 11:40","Santo Domingo (Dominican Republic)",NA,"Flash","40 segundos","No hablo muy bien el ingles, pero frente de mi casa cuando estaba guardando el carro, noto esa luz diferente a las demás en el cielo y","11/19/12"
"11/13/12 23:18","Gurgaon (India)",NA,"Fireball","15 seconds","Yellowish/blue sphere seen in gurgaon sky, india.","11/19/12"
"11/13/12 00:30","Amsterdam (north part) (Netherlands)",NA,"Oval","5 minutes","Amsterdam globe 5 minutes orange oval (sphere like)","11/19/12"
"11/12/12 21:00","Chennai (Madras) (India)",NA,"Circle","1 minutes","((No information from witness.))","11/19/12"
"11/11/12 19:30","Macclesfield (UK/England)",NA,"Circle","60 seconds","Bright orange ball of light approaching fast from South toward Macclesfield, UK.","11/19/12"
"11/10/12 00:00","Mariupol (Russia)",NA,"Light","5 days","Big white bright star a few km high, every night, 6 days, did not move","9/5/14"
"11/8/12 23:30","Porto (Portugal)",NA,"Light","30 seconds","The speed the format, everything.","11/19/12"
"11/7/12 05:00","Kuala Lumpur (Malaysia)",NA,"Oval","12 minutes","2 police officers and campers saw a yellowish/red object.","11/19/12"
"11/7/12 00:00","Koror (Palau)",NA,"Circle","2 hours","Red and green objects spotted in the sky over Palau","11/19/12"
"11/5/12 20:30","London (UK/England)",NA,"Circle","1 minute","UFO - London 5th November 2012.","11/19/12"
"11/5/12 08:20","Dippach Reckange (Luxembourg)",NA,"Sphere","8-15 seconds","Sphere shape, white light, high in the sky, and not moving.","12/20/12"
"11/4/12 19:10","Cheshire (UK/England)",NA,"Sphere","40 seconds","Strange yellow ball of light moving high and fast over a clear night sky that suddenly disappeared . Stockport England","11/4/12"
"11/4/12 14:30","Pretoria (South Africa)",NA,"Light","5 seconds","Fast moving lights across the South African sky","11/4/12"
"11/2/12 10:25","Carolina (South Africa)",NA,"Disk","1 second","((HOAX?? DATE IS FLAWED)) We capture a UFO on video during my amateur rocket launch","11/4/12"
"11/1/12 22:10","Leighton Buzzard (UK/England)",NA,"Sphere","5 minutes","Two seperate fast moving orange spheres observed within 5 mins - Bedfordshire UK","11/19/12"
"10/31/12 13:20","Niagara Park (Australia)",NA,"Disk","0 seconds","Photograph of saucer shaped disc central coast NSW. ((NUFORC Note: Image of a hummingbird, we believe. PD))","11/4/12"
"10/30/12 22:45","UK/England",NA,"Light","1 hour","Fast moving light rotating in a circle. ((NUFORC Note: Possible advertising light?? PD))","11/4/12"
"10/30/12 19:15","Chirpan (Bulgaria)",NA,"Light","3 minutes","Pulsating red/yellow light moving slowly and stopping above a city (possibility of a repeating case)","10/30/12"
"10/29/12 00:00","Slobozia (Romania)",NA,"Light","5 minutes","Orange reddish lights seen.","10/30/12"
"10/28/12 14:00","West Wyalong (Australia)",NA,"Cigar","4-5 minutes","Chemtrail plane's disguise ufo escort","10/30/12"
"10/27/12 22:45","Lima (Peru)",NA,"Rectangle","3 minutes","Moving red and orange colored glowing ball or vertical cylinder","10/30/12"
"10/24/12 18:30","Dhaka (Bangladesh)",NA,"Other","15-30 seconds","THIS IS TRUE- U CAN HAVE MY WORD! I was on the roof just staring into space- whole family was there, when I saw a faintly glowing rect","10/30/12"
"10/24/12 00:02","Hayward's Heath (UK/England)",NA,"Unknown","2 minutes","Throbbing sound in the sky","10/30/12"
"10/21/12 23:40","Kobe (Japan)",NA,"Light","-1 second","At 23:40 I was waching the sky in Kobe, Japan. I saw a very fast silver bright object going east direction west down to the mountains.","10/30/12"
"10/21/12 03:20","Durham County (UK/England)",NA,"Light","10 minutes","2 lights above Co. Durham U.K.","10/30/12"
"10/20/12 18:00","Berlin (Germany)",NA,"Unknown","25 minutes","Ovni a berlin. Sorte de tissu noir, flottant en apesanteur, et changeant. Eclairé par en dessous par de pâles mini flash a intermittenc","10/30/12"
"10/19/12 06:20","Blandford Forum (UK/England)",NA,"Unknown","5 minutes","White dot moving in triangular pattern.","10/30/12"
"10/19/12 02:30","Gimhae (Kimhae) (South Korea)",NA,"Disk","1-1.5 hours","The Night sky in Gimhae on the 10/19/12","10/30/12"
"10/18/12 05:50","Cardiff (South Wales) (UK/Wales)",NA,"Light","1.00 hour","Bright light that hovers for a whike then disappears","10/30/12"
"10/17/12 21:30","Toton, Nottingham (UK/England)",NA,"Sphere","8 minutes","Red & White Spheres Hovering Low & White Sphere Being Observed By Helicopter","10/30/12"
"10/17/12 12:22","Warsaw (Poland)",NA,"Unknown","20 seconds","October 17 2012 UFO over Warsaw Poland Daytime","11/19/12"
"10/16/12 19:11","Gold Coast (Australia)",NA,"Egg","45 seconds","Orb shaped UFO , red and blue flare out","10/30/12"
"10/16/12 04:42","Trujillo Alto (Puerto Rico)",NA,"Light","5-10 minutes","Bright green light noisy light surrounded by haze caused severe power outage","10/30/12"
"10/15/12 09:00","Angeles City Anunas Brgy (near frmr Clark AFB) (Philippines)",NA,"Disk","90 seconds","Bright White colored, Saucer shaped UFO, camouflaged to blend with the clouds.","8/30/13"
"10/15/12 01:00","Jerusalem (Israel)",NA,"Oval","30 minutes","2 bright white oval lights over a Jerusalem hillside noticed in photograph taken at around 1:00 a.m. of Oct. 15, 2012","11/19/12"
"10/14/12 20:15","Kabul (Afghanistan)",NA,"Light","5 minutes observed","Comet-like 'star' object seen over Eastern Afghanistan","10/30/12"
"10/13/12 22:30","Seaford (UK/England)",NA,"Light","10 minutes","Unusual set of 3 lights captured on camera","10/30/12"
"10/13/12 22:30","Tonbridge (UK/England)",NA,"Fireball","2 seconds","Laying on sofa ,noticed green ball very quickly descend into tree line.","10/30/12"
"10/13/12 20:30","Glasgow (UK/Scotland)",NA,"Circle","5 minutes","Strange Orange Orb over Glasgow, Scotland, UK","10/30/12"
"10/13/12 02:00","Benidorm (Spain)",NA,"Changing","11 minutes","Best UFO Sighting Footage of 2012.","11/4/12"
"10/12/12 23:00","Varanasi (India)",NA,"Changing","8 seconds","I Witnessed a holographic-like display of about 50 points of light rapidly transforming into various 3-dimensional rectangular shapes","10/14/13"
"10/8/12 17:10","Obernheim (Germany)",NA,"Triangle","seconds","UFO appeared on photo taken of Obernheim in Germany.","11/19/12"
"10/7/12 22:30","Meath (Ireland)",NA,"Circle","30 minutes","7 circle shaped objects flashing lights flying in the sky compacted together then seperated","10/30/12"
"10/6/12 21:30","",NA,"","","On Saturday at around 21:30 I got a text from my wife saying words to the effect of 'you'll never believe but the lights are back.","10/30/12"
"10/6/12 21:11","Johannesburg (Kempton Park) (Republic of South Africa)",NA,"Circle","10 minutes","RSA, silent, bright orange, moving slowly, one did two 90° turns, + 4 sets of 3, photos came out very well.","10/30/12"
"10/6/12 10:45","Emerald (Australia)",NA,"Light","10-15 minutes","12 to 14 orange lights travelling from west to south.","10/30/12"
"10/5/12 21:40","Koh Samui (Thailand",NA,"Sphere","4 minutes","2 sightings of orange orbs off the coast of Koh Samui, an island in Southern Thailand.","10/30/12"
"10/5/12 21:40","Koh Samui (Thailand",NA,"Sphere","4 minutes","2 sightings of orange orbs off the coast of Koh Samui, an island in Southern Thailand. ((ADDENDUM))","10/30/12"
"10/5/12 19:20","Chennai (Tamil Nadu) (India)",NA,"Circle","2 minutes","A bigger bright light moving slowly, in night sky for aprox. 2 min was seen, no sound heard and suddenly the bright light started to di","10/30/12"
"10/4/12 21:00","Pitesti (Romania)",NA,"Light","5-8 minutes","I was on the porch smoking a cigarette, looking up and I saw something that looked like a normal star, with the exception that it was c","11/4/12"
"10/3/12 05:00","Setif (Algeria)",NA,"Light","1 minute","One of very bright and big sphere was standing alone with a small boarded one. The another big sphere approached.","10/30/12"
"10/2/12 13:00","Klang (Malaysia)",NA,"Light","15 minutes","Mysterious bright spot in pictures of solar hola from different persons, cameras, locations and nearly same timing","10/30/12"
"9/30/12 23:00","",NA,"","","I was checking out the reported UFO in the sky,at Jacksonville,TX from my I-Phone4 map on Sept.31,2012 at 11 pm. I saw the he same thi","10/30/12"
"9/30/12 18:10","Castries (St. Lucia)",NA,"Triangle","","I did not actually see this until I went through my pictures. I seemed to have captured it whilst taking pictures of sunset. This is","10/30/12"
"9/30/12 00:30","London (UK/England)",NA,"Circle","3-5 minutes","An amass of orangey-red dots in formation travelling across the night's sky.","10/30/12"
"9/29/12 20:55","Crawley (UK/England)",NA,"Light","2/3 minutes","I was just about to put myself in bed. All the lights were off everywhere in the house uncluding bedroom. As sat on my bed to pull cove","10/30/12"
"9/29/12 19:43","Heredia (Costa Rica)",NA,"Fireball","15 minutes","7 fireballs seen over the sky, Heredia, Costa Rica.","10/30/12"
"9/29/12 18:30","San Juan (Puerto Rico)",NA,"Fireball","7-10 minutes","Two orange fireballs over Metropolitan Area in San Juan, Puerto Rico","10/30/12"
"9/29/12 01:04","Portugal",NA,"Other","3-4 minutes","Boomerang shaped object or light traveling extremely fast in Lisbon, Portugal.","10/30/12"
"9/28/12 22:00","London (UK/England)",NA,"Circle","1 minute","Two glowing orange balls in sky over london","11/4/12"
"9/28/12 20:05","Langebaan (South Africa)",NA,"Oval","20 seconds","Two objects moving apart, one coming down, large and bright, the other small and high up.","10/30/12"
"9/27/12 07:00","Newport (Gwent) (UK/Wales)",NA,"Light","5 minutes","There was a aircraft flying to the west with its trail following behind and there was a second craft tracking its flying pattern and fl","10/30/12"
"9/26/12 22:00","Ubud (Indonesia)",NA,"","~2 minutes","Strong orange light flickering in the dark cloudy rainy night","10/30/12"
"9/24/12 20:09","Southport (UK/England)",NA,"Circle","60 seconds","Fast moving fireball.","10/30/12"
"9/24/12 11:00","Carmarthen (UK/Wales)",NA,"Triangle","5 minutes","I seen a Triangle Object in the sky with Red lights on Each side It Moved Forward could have been back or It just moved Then It stopped","9/24/12"
"9/23/12 19:20","Amanzimtoti (South Africa)",NA,"Light","1 minute","Orange light seen moving from North To South over Indian Ocean from Amanzimtoti","9/24/12"
"9/22/12 21:05","Napier (New Zealand)",NA,"Unknown","10 minutes","8 bright intense round lights, appearing in twos, following the exact same path at slightly different times with no noise.","11/19/12"
"9/21/12 23:05","Derby (UK/England)",NA,"Other","15 seconds","Long wiggly object, completely covered in white lights.","9/24/12"
"9/21/12 23:00","Glasgow (UK/Scotland)",NA,"Circle","10 seconds","6 to 10 very bright circular object moving from east to west in a clear cloudless night sky","9/24/12"
"9/21/12 23:00","Carmarthenshire (UK/England)",NA,"Other","8 seconds","5 or 6 lights travelling in sequence","9/24/12"
"9/21/12 23:00","Blessington (Wicklow) (Ireland)",NA,"Disk","5 minutes","Lights seen in the dark sky in a small town.","9/24/12"
"9/21/12 23:00","Newcastle upon Tyne (UK/England)",NA,"Fireball","7 minutes","Orange/green fireball with 2 whiteish balls following east to west over north uk","10/30/12"
"9/21/12 23:00","Wolverhampton (UK/England)",NA,"Changing","18+ seconds","VERY LARGE CRAFT WITH LIGHTS AT BOTH ENDS MOVING SILENTLY DOWN THE STREET AT ROOFTOP LEVEL","9/24/12"
"9/21/12 23:00","Pwllheli (UK/Wales)",NA,"Other","3-5 minutes I could watch","About 11 pm of GMT I saw over my window something like a commet flying or as I was thinking, falling, as approaching-I expected the im","9/24/12"
"9/21/12 23:00","Redberth (UK/England)",NA,"Fireball","10 minutes","Ball turning into cylindrical shape","9/24/12"
"9/21/12 23:00","Dunshaughlin (Navan/Kells) (Ireland)",NA,"Formation","2 - 3 minutes","Orange light cluster - picture taken","9/24/12"
"9/21/12 22:58","Derbyshire (UK/England)",NA,"Fireball","2 minutes","A long line of bright fireballs seen in south normanton, derbyshire","9/24/12"
"9/21/12 22:55","Warton (UK/England)",NA,"Unknown","30 seconds?","A huge bluish, fluorescent like, light unlike anything else I have ever seen,moving silently across the sky.","9/24/12"
"9/21/12 22:55","Alfreton (UK/England)",NA,"Fireball","30 seconds","Main fireball with trail of flames behind dropping off large and slow Alfreton UK","9/24/12"
"9/21/12 22:35","Burry Port (UK/Wales)",NA,"Fireball","2 minutes","Orange flame witch split up in to 6 parts but stayed at the same hight and speed","9/24/12"
"9/21/12 20:55","Pigadia (Greece)",NA,"Other","5 seconds","Big white shining thing crashed in the Aegean Sea between Karpathos and Rhodes","9/24/12"
"9/20/12 23:00","Bongaon (India)",NA,"Disk","about 2 minutes","Coin shaped yellowish object in West Bengal, India.","9/24/12"
"9/20/12 23:00","Dublin (Ireland)",NA,"Fireball","1 minute","Fireball, Ireland, odors, unusual flight pattern.","9/24/12"
"9/17/12 21:35","Kingshill (U. S. Virgin Islands)",NA,"Fireball","3 seconds","Greenish blue fireball seen racing across the sky.","9/24/12"
"9/17/12 05:13","Okinawa (Japan)",NA,"Light","30 minutes","Strange light hovering above Kadena Airbase","9/24/12"
"9/15/12 04:00","Sundborn (Sweden)",NA,"Light","45 minutes","White \"starlooking\" thing moving and hovering for 45 minutes to the east of Sundborn, Falun Sweden.","9/24/12"
"9/11/12 01:00","Fob Shank (Afghanistan)",NA,"Circle","3-5 minutes","About to go to bed, I walk out of my room and see a very very bright light with a red tinge in the sky. I've seen a lot of things flyin","9/24/12"
"9/10/12 18:00","Monte Verde (Costa Rica)",NA,"Cone","30 minutes","Very bright lights of blue green red and white shining from a stationary object in the sky for 30 minutes.","9/24/12"
"9/10/12 02:55","Sweden (Lat.: 67.42381 Long.: 23.35779)",NA,"Cigar","1 minutes","Cigar-shaped object shape, the length of 150-200 meters","9/24/12"
"9/8/12 19:55","London (UK/England)",NA,"Teardrop","2 minutes","London, UK 8th September 2012 Teardrop shaped craft.","9/24/12"
"9/8/12 09:34","Kent (UK/England)",NA,"Formation","15 minutes","4 ufo's were flying in a diamond shape flashing high in sky","9/24/12"
"9/6/12 08:54","Taiwan",NA,"Disk","","Saucer Shape UFO","9/24/12"
"9/4/12 02:30","Perth (Australia)",NA,"Sphere","2 minutes","Large orange orb","9/24/12"
"9/3/12 22:00","Barstow (outside of)",NA,"Circle","10 seconds","Huge white orb seen falling to Earth near Barstow, Ca","9/24/12"
"9/3/12 01:35","Zouk Mikael (Lebanon)",NA,"Triangle","8 seconds","V shaped object stealth but moonlight reflected on it","9/24/12"
"9/3/12","",NA,"","","I was watching a video on HULU: UFOTV presents UFO's in South America, 2010.
        
        Unique UFO's formation of 20 or more on separate occas","9/24/12"
"9/2/12 21:30","Winnipeg (Canada)",NA,"Other","2 minutes","Orange shrouded light ,","9/24/12"
"9/2/12 01:20","Puerto Vallarta (Mexico)",NA,"Disk","40 minutes","Off the balcony of our hotel in Puerto Vallarta, Mexico, my fiancé and myself observed 4 bright orange lights. Others appeared, too.","9/24/12"
"9/1/12 23:50","Carolina (Puerto Rico)",NA,"Sphere","about 10 minutes","Five people in Carolina Puerto Rico see a bright orange object which then turns off leaving the dark black figure moving in the sky.","9/24/12"
"8/30/12 21:00","Bucharest (Romania)",NA,"Light","5 minutes","Objects of orange color were moving silently, linearly, and relatively moderate speed, from east to west. They appear from now where, a","9/24/12"
"8/29/12 18:38","Georgetown (Guyana)",NA,"Disk","","Bright bluish flying saucer sighted over Georgetown, Guyana ( South America )","9/24/12"
"8/28/12 23:00","Belgrade (Serbia)",NA,"Triangle","5 seconds","Three dots in triangle shape","9/24/12"
"8/28/12 03:30","York (UK/England)",NA,"Light","40 minutes","Bright light moving and stopping, seen from York, England.","9/24/12"
"8/27/12 20:30","Bermuda (Atlantic Ocean)",NA,"Triangle","","3 red dots in sky triangle formation, over south coast of Bermuda.","9/24/12"
"8/24/12 10:25","Carolina (South Africa)",NA,"Disk","2 seconds","On video one craft .. On amateur rocket launch .. 1 min and 29 seconds after rocket was launch,UFO appear for split second . it look di","11/19/12"
"8/22/12 19:00","San Jose Del Cabo (Mexico)",NA,"Light","3 hours","3 UFO’s holding a triangular position adjacent to the moon for 2+ hours.","9/24/12"
"8/21/12 21:45","Wagga Wagga (Australia)",NA,"Triangle","30 seconds","Seven light triangle","9/24/12"
"8/20/12 23:50","UK/England",NA,"Unknown","seconds","Bright light shoots up then dissapears","9/24/12"
"8/20/12 22:15","Sundrland (UK/England)",NA,"Unknown","30 seconds","Multiple UFO sightings across a two day period first time experiment in remote viewing.","9/24/12"
"8/19/12 02:09","London (UK/England)",NA,"Triangle","10-13 seconds","Curved-triangular shape, flying in sky in London, UK","8/19/12"
"8/18/12 23:55","Tel Mond (Israel)",NA,"Light","1-1 1/2 hours","Orange to off white objects.","8/19/12"
"8/18/12 23:40","Nottingham (UK/England)",NA,"Chevron","5 seconds","V shaped formation moving east to west, dim lights unlike aircraft.","8/19/12"
"8/17/12 00:15","Venlo (Netherlands)",NA,"Circle","5 minutes","Round dark orange light moving east to west suddenly increasing speed and disappearing.","8/19/12"
"8/15/12 22:40","Manchester (UK/England)",NA,"Circle","2 minutes","Red and orange light ball","8/19/12"
"8/15/12 22:00","Kalmar (Sweden)",NA,"Other","1 minute","Bright starlike object","8/19/12"
"8/15/12 21:00","Rochdale (Manchester) (UK/England)",NA,"Triangle","1 minute","A small triangular craft with three red lights, one at each point seen in Rochdale on 15th August 2012","10/30/12"
"8/15/12 15:00","Benfleet (Thames Estuary) (UK/England)",NA,"Disk","15 minutes","Saucer somewhere above the Thames Estuary.","10/30/12"
"8/14/12 04:00","Lahore (Pakistan)",NA,"Oval","3 minutes","Oval shaped bright yellow UFO","8/19/12"
"8/13/12 22:15","Cardiff",NA,"Chevron","7 seconds","Wing Shaped Object with Faint Orange Glow moving Very Fast","8/19/12"
"8/13/12 17:30","Taipei",NA,"Fireball","2 minutes","2 bright orange glowing balls hovering over Taipei Taiwan at a low altitude.","2/21/14"
"8/11/12 03:25","Stoke on Trent (UK/England)",NA,"Chevron","4 minutes","Totally black chevron craft with no lights flys over my flat and away to the north.","8/19/12"
"8/11/12","Kilkenny (Ireland)",NA,"Unknown","15 min","Massive light and small lights in the night sky just scared the crap out of me.","8/19/12"
"8/9/12 00:00","",NA,"Triangle","at least 2 hours","Multiple triangular shaped UFOs above the southern California desert","8/19/12"
"8/7/12 21:30","",NA,"Other","30","One light bright as a star travled clockwise unkown pattern speeding up and slowing down","9/24/12"
"8/7/12 19:00","Guam",NA,"Sphere","15 minutes","Bright orange orbs in Guam","5/15/13"
"8/7/12 14:00","Basel (Switzerland)",NA,"Circle","3 minutes","Pilot Sighting of Motionless Silver Circle Above Switzerland","9/24/12"
"8/6/12 01:30","Arouca (Trinidad/Tobago)",NA,"Changing","20 minutes","10 balls of fire floating slowly across the sky. soucouyant or ufo?","8/19/12"
"8/4/12 20:30","Riebeek Kasteel (South Africa)",NA,"Oval","5 minutes","Large red oval object and at the bottom sparkling yellow lights","8/5/12"
"8/4/12 08:00","",NA,"Oval","3 seconds","This was seen in the background of Discovery Channel footage on thunder clouds.","9/24/12"
"8/3/12 02:40","West Wyalong (Australia)",NA,"Triangle","35-45 sec","Folding triangular three dimensional type shapes that spark off blue/white electrical looking fields??","8/19/12"
"8/2/12","",NA,"","","http://www.youtube.com/watch?v=b_UMyP0bU-Y&feature=plcp","8/5/12"
"8/1/12 00:00","Geneva (Switzerland)",NA,"Light","1 minute","Fast moving starlight makes tree sharp turns.","8/15/14"
"7/31/12 21:00","London (UK/England)",NA,"Egg","45 seconds","Bubble/egg shaped pod seen flying over Chingford, NE London","8/5/12"
"7/30/12 20:50","Brisbane (Australia)",NA,"Light","2 seconds","At 8:50 pm I saw a light in the a cylinder type light with blue and red flashes on the bottom come towards me and then shoot strai","8/5/12"
"7/29/12 18:40","Cleveland (Australia)",NA,"Circle","8 minutes","Three pink/orange spheres spotted over Cleveland, Queensland, Australia","8/5/12"
"7/28/12 23:55","Budapest (Hungary)",NA,"Formation","5 minutes","Fixed formation of about one hundred bright spots in the night sky","8/5/12"
"7/28/12 21:45","Berlin (Germany)",NA,"Circle","5 minutes","Four red lights, one circular object","8/5/12"
"7/27/12 16:47","Barmouth (UK/Wales)",NA,"Circle","","Sphere shaped object seen Barmouth, Wales, United Kingdom","8/5/12"
"7/25/12 20:20","Democratic Republic of the Congo",NA,"Disk","2 minutes","Flying Saucer in Democratic Republic of the Congo","8/5/12"
"7/25/12","",NA,"","","Summary letter to Peter Davenport.","8/5/12"
"7/24/12 22:40","Burton on Trent (UK/England)",NA,"Circle","10-15 seconds","4 lights. a bit bigger than stars moving at variable speeds across a clear sky. quite unobservant","8/5/12"
"7/23/12 23:05","Dayton",NA,"Other","2 hours","Watched hovering multicolored UFO for 2 hours. ((NUFORC Note: Probable sighting of Arcturus. PD))","8/5/12"
"7/23/12 09:02","Vienna (Austria)",NA,"Unknown","8-10 minutes","Strongly reflecting object, during daylight, slowly moving, high, and abruptly changing direction at one point.","8/5/12"
"7/21/12 20:00","Carolina",NA,"Light","5 minutes","Red lights seen in the sky.","8/5/12"
"7/20/12 22:35","Mossel Bay (South Africa)",NA,"Circle","1 hour","The object was seen over the area on three occasions between the middle of July 2012 until the end of July 2012. It first appeared stat","8/19/12"
"7/18/12 23:30","Negril (Jamaica)",NA,"Light","30 minutes","Thirty circular crimson lights seen traveling northwest over the Atlantic Ocean.","8/5/12"
"7/16/12 23:05","Gurgaong (India)",NA,"Fireball","2 seconds","Short blue ball of light flashed on Gurgaon skies in North India state of Haryana-16th July 2012 @ 23:05.","8/5/12"
"7/15/12 21:00","Ibiza (Spain)",NA,"Circle","15 minutes","We were watching an outdoor concert on the Spanish resort of IBIZA in July when someone pointed to the sky and about twenty of us witn","9/24/12"
"7/15/12 18:00","Tamuning (Guam)",NA,"Sphere","30 minutes","Half Dozen Red/Yellow Pulsating Orbs/Spheres Observed Over The Island of Guam","8/5/12"
"7/15/12 01:02","Crikvenica (Croatia)",NA,"Circle","unk","Strange light in the night sky.","8/5/12"
"7/15/12 01:00","Corby (UK/England)",NA,"Oval","5 minutes","Two orange oval objects in skies over England","8/5/12"
"7/14/12 23:55","Bitola (Macedonia)",NA,"Disk","10 minutes","FLYING SAUCER RIGHT ABOVE ME !!!!","8/5/12"
"7/14/12 00:00","Prestatyn (UK/England)",NA,"Other","","30 tetrahedron shaped objects flew over my house at 12 at night, they seemed 2d at first but as they got closer they morphed into a tri","8/5/12"
"7/13/12 09:00","Rapperswil (Switzerland)",NA,"Changing","1 minute","Fuzzy pink widget above Switzerland","8/5/12"
"7/12/12 22:35","Roma (Italy)",NA,"Sphere","00:15","9 sfere di colore rosso arancio, avvistate verso l'eur. ((NUFORC Note: Report addresses 9 red spheres. Translated below. PD))","10/30/12"
"7/9/12 23:15","Saint Paul's Bay (Malta)",NA,"Fireball","10 minutes","NUMEROUS 'FIREBALLS' SEEN OVER ISLAND OF MALTA (MEDITERRANEAN SEA)","11/19/12"
"7/8/12 22:50","Auckland (New Zealand)",NA,"Fireball","1-5 minutes","x2 yellowish/white spheres seen in clear night sky by female.","12/20/12"
"7/7/12 23:06","Ljungsbro (Sweden)",NA,"Oval","1 minute","Slow endur, high air 3000 m aprox, nw-to-se","8/5/12"
"7/5/12 06:30","Melbourne (Australia)",NA,"Cigar","10 minutes","Morphing UFO cigar shaped in melbourne australia","8/5/12"
"7/4/12 23:00","",NA,"","","((NUFORC Note: No information provided by source of report. PD))","8/5/12"
"7/4/12 22:30","Cedar Rapids",NA,"Cigar","1 minute","Low flying silent fire ball","8/5/12"
"7/3/12 23:00","Warsaw (Poland)",NA,"Light","00:30","Two lights moving on two circular orbits forming a number 8 with a constant speed. The movements were synchronized","9/24/12"
"7/1/12 21:35","Faisalabad (Pakistan)",NA,"Unknown","2 seconds","Flashing lights in sky without any cloudy or stormy climate.
        
        500 Lights On Object0: Yes","7/4/12"
"7/1/12 19:03","Simberi Island (Papua/New Guinea)",NA,"Fireball","3 seconds","White/Bluish object sighted falling vertically into ocean - approx duration 3 secs.","7/4/12"
"7/1/12 18:25","Heidelberg (80 km south) (South Africa)",NA,"Light","3 seconds","very Fast moving light South Africa near Heidelberg.","7/4/12"
"7/1/12 04:00","Camuy (Puerto Rico)",NA,"Other","around 3 minutes","Unknown (UFO) thin white line traveling in an horizontal position toward the northwest without stoping or changing the shape of it.","7/4/12"
"7/1/12 01:40","Copenhagen (Denmark)",NA,"Light","5 minutes","I was sitting on my balcony when I saw two red lights, by a bright night with only scarce clouds, two red lights flying faster than pla","7/4/12"
"6/30/12 19:50","Newcastle (South Africa)",NA,"Light","","2 wide spaced lights moving slowly over us and then just vanished.","12/20/12"
